"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu3g12340" 101 85 79 370 319 313 168 117 102 485 825 481
"Afu3g12350" 11330 10102 10848 18755 21261 23767 9762 12349 9648 51134 77773 55885
"Afu3g12360" 640 694 536 658 619 601 408 461 364 458 607 270
"Afu3g12370" 2600 2269 2131 3033 3698 3623 3123 2715 2137 3220 1802 3207
"Afu3g12380" 3437 2645 2539 2132 2326 2385 3294 3011 2541 4323 4928 4580
"Afu3g12390" 21 39 26 9 11 14 43 25 25 7 7 7
"Afu3g12400" 1904 1617 1530 2415 2407 2696 2788 2704 2098 1536 702 1413
"Afu3g12410" 6 9 4 24 13 25 26 15 10 11 19 6
"Afu3g12420" 187 158 138 262 256 262 188 195 146 133 41 98
"Afu3g12430" 1193 1082 1093 884 1150 1077 1302 1352 1026 560 348 475
"Afu3g12440" 27 32 26 17 32 33 50 24 29 32 16 22
"Afu3g12450" 758 608 605 862 916 936 981 801 563 827 283 789
"Afu3g12460" 638 464 416 483 646 571 396 432 358 185 91 137
"Afu3g12470" 615 424 411 1046 1343 1170 778 623 475 1795 1113 1520
"Afu3g12480" 828 675 684 989 1028 977 1274 959 779 484 205 443
"Afu3g12490" 797 873 676 1013 953 1105 1193 948 864 189 153 144
"Afu3g12500" 558 439 415 540 635 660 749 625 552 994 2436 1283
"Afu3g12510" 1618 1358 1321 1340 1529 1487 1861 1596 1308 1426 874 1341
"Afu3g12520" 4943 3185 3231 914 1019 984 680 751 677 1298 1720 1288
"Afu3g12530" 3394 2396 2389 2485 3608 3093 4040 3999 3075 6663 6544 6149
"Afu3g12540" 16 10 10 14 6 6 22 14 18 19 30 8
"Afu3g12550" 2287 1718 1704 1643 2265 2345 1972 1986 1657 2615 2841 2274
"Afu3g12560" 739 520 512 847 836 836 787 659 522 593 178 536
"Afu3g12570" 119 80 99 199 194 195 138 124 69 349 157 368
"Afu3g12580" 376 250 253 136 129 130 262 178 188 99 85 90
"Afu3g12590" 357 191 225 95 125 109 223 198 183 81 54 73
"Afu3g12600" 76 44 51 186 192 176 82 62 62 23 16 21
"Afu3g12610" 127 74 68 174 183 203 132 130 98 143 59 110
"Afu3g12620" 775 419 438 1050 1029 1160 619 710 546 824 347 784
"Afu3g12630" 295 278 262 62 91 93 159 153 175 55 112 45
"Afu3g12640" 436 398 364 252 245 300 323 332 233 116 41 96
"Afu3g12650" 122 118 162 295 303 313 247 201 141 285 190 218
"Afu3g12660" 367 343 327 602 649 679 569 453 392 483 794 363
"Afu3g12670" 2094 1668 1740 1618 2755 2355 1992 2033 1580 2088 1902 1849
"Afu3g12680" 191 171 144 145 165 132 258 151 150 339 391 316
"Afu3g12690" 2966 2759 2523 2230 2754 2672 2943 2884 2506 397 154 344
"Afu3g12700" 2392 2061 1926 4768 5260 5466 3136 3094 2303 992 390 732
"Afu3g12710" 1626 1696 1489 683 786 941 2256 1707 1629 130 95 106
"Afu3g12720" 147 152 156 40 69 55 177 126 120 23 5 9
"Afu3g12730" 786 483 426 396 382 413 630 465 378 478 469 434
"Afu3g12740" 872 413 369 187 231 182 233 221 189 663 574 954
"Afu3g12750" 203 161 135 140 189 164 392 248 228 128 174 91
"Afu3g12760" 883 921 820 134 165 136 864 854 774 804 622 661
"Afu3g12770" 63 60 61 61 50 55 113 70 70 30 5 13
"Afu3g12780" 67 49 50 105 126 71 131 55 49 57 8 41
"Afu3g12790" 1718 1617 1608 2414 2313 2670 3163 2269 2102 987 552 984
"Afu3g12800" 1839 1629 1677 1838 2133 2172 2042 2268 1743 1251 553 1113
"Afu3g12810" 1107 1037 961 1040 1288 1266 1338 1218 915 900 574 805
"Afu3g12820" 728 562 598 498 625 567 900 642 569 204 439 197
"Afu3g12830" 29 31 28 70 54 71 83 122 91 20 9 18
"Afu3g12840" 336 299 255 414 373 425 439 305 247 276 52 256
"Afu3g12850" 395 286 269 280 306 294 427 324 307 611 90 532
"Afu3g12870" 1032 873 764 511 574 605 899 891 754 233 115 196
"Afu3g12890" 1510 1648 1412 4041 4935 5602 3785 2334 2764 4279 5081 4450
"Afu3g12900" 2925 3925 3458 27371 45493 46787 6622 3985 6244 45949 64464 56889
"Afu3g12910" 1263 2429 1969 6411 5992 8819 17120 11034 16275 1248 757 1414
"Afu3g12920" 433 877 786 2055 2291 3151 6088 4662 5840 667 640 651
"Afu3g12930" 2120 3432 2990 8184 7785 10929 17225 9347 12758 3759 2628 4393
"Afu3g12940" 730 544 543 590 758 854 854 812 644 917 529 897
"Afu3g12950" 384 560 509 1734 1633 2257 3052 2045 2814 389 260 452
"Afu3g12960" 1150 1781 1712 11478 9522 13907 13725 9849 11681 3051 1922 3435
"Afu3g12970" 1262 1047 864 1062 1216 1167 1683 1062 1019 1525 768 1467
"Afu3g12982" 33 52 40 24 25 15 55 40 40 9 3 6
"Afu3g12990" 199 146 147 1136 1275 1349 282 229 150 111 75 108
"Afu3g13000" 423 318 301 880 865 942 548 414 323 1618 1522 2251
"Afu3g13010" 1437 1072 1089 4207 4951 5844 1723 1780 1438 10380 11671 16376
"Afu3g13020" 21 31 17 29 44 32 37 24 31 42 39 36
"Afu3g13030" 2198 2012 1808 1505 1440 1555 2139 2158 1813 1042 385 1016
"Afu3g13040" 207 229 189 334 257 321 329 251 194 331 243 369
"Afu3g13060" 571 426 416 930 1021 1090 741 593 535 400 159 387
"Afu3g13070" 505 453 440 710 777 827 523 455 350 224 87 236
"Afu3g13080" 2636 2229 2238 3330 3403 3949 2459 1875 1835 2896 2214 3027
"Afu3g13090" 860 697 690 360 433 316 1296 942 774 1152 683 1168
"Afu3g13100" 1975 1762 1524 551 717 713 1982 1754 1596 337 270 232
"Afu3g13110" 32691 18850 19889 11006 17571 14564 6999 9472 6745 1086 1693 839
"Afu3g13120" 59 49 52 58 64 43 55 48 46 12 14 15
"Afu3g13130" 4 45 14 5 4 4 23 14 8 3 8 4
"Afu3g13140" 1600 8856 8667 161 252 118 4134 4558 2782 2146 4885 2029
"Afu3g13150" 428 368 316 341 428 435 431 399 305 640 363 598
"Afu3g13160" 2135 2163 1946 2996 3986 4012 3543 2981 2499 2287 2201 2001
"Afu3g13170" 156 127 119 338 346 292 294 168 160 131 75 77
"Afu3g13180" 423 348 298 759 814 789 717 474 380 586 649 441
"Afu3g13190" 5 3 6 11 12 12 15 12 8 23 11 23
"Afu3g13200" 191 196 184 258 286 267 324 222 199 112 48 69
"Afu3g13210" 1327 833 787 489 691 663 1326 1095 894 225 155 177
"Afu3g13220" 727 468 444 737 861 878 910 757 667 174 91 124
"Afu3g13230" 359 252 219 427 505 460 520 383 285 792 655 733
"Afu3g13240" 266 210 168 200 177 191 389 270 208 157 52 109
"Afu3g13250" 338 295 275 456 427 430 544 383 289 234 132 211
"Afu3g13260" 432 333 330 440 504 511 651 489 381 328 195 353
"Afu3g13270" 406 347 364 765 800 896 533 506 412 740 670 870
"Afu3g13280" 502 447 403 466 489 550 566 511 472 113 101 90
"Afu3g13290" 5 3 6 6 6 5 10 9 5 0 2 2
"Afu3g13300" 1619 1549 1358 1554 2043 2101 1874 1952 1490 1792 944 1778
"Afu3g13310" 1358 1319 1190 1158 1174 1347 1386 1524 1209 748 410 815
"Afu3g13320" 6916 5522 4960 2988 2882 2923 6795 6763 4970 750 205 460
"Afu3g13340" 160 84 115 117 93 111 151 97 88 28 22 26
"Afu3g13350" 561 536 529 636 562 642 692 593 489 305 175 315
"Afu3g13360" 104 84 72 59 105 83 122 113 91 36 17 32
"Afu3g13370" 1100 893 888 1053 1233 1282 1216 1105 850 2076 1130 2255
"Afu3g13380" 1402 1336 1202 2146 2182 2599 1775 1744 1388 1222 851 1137
"Afu3g13390" 1336 1074 973 1396 1553 1646 1511 1287 1061 1012 417 998
"Afu3g13400" 3277 3160 2793 2528 2588 3059 3261 3460 2911 994 1146 898
"Afu3g13410" 209 221 160 198 199 209 221 199 179 206 142 199
"Afu3g13420" 237 171 165 410 446 394 352 264 189 245 95 209
"Afu3g13430" 424 309 302 613 605 591 404 372 297 542 238 486
"Afu3g13440" 4068 2505 2353 5752 5645 5805 2601 2919 2308 2170 179 1872
"Afu3g13450" 1053 958 846 1150 1271 1217 1601 1196 1017 2132 1598 1956
"Afu3g13460" 680 566 596 989 937 1045 855 715 622 612 812 664
"Afu3g13465" 55 58 41 49 43 49 71 70 50 28 12 28
"Afu3g13470" 833 639 595 1109 1192 1235 1239 853 653 2302 1786 2196
"Afu3g13480" 3275 2918 2765 2590 2585 2796 3935 3685 3086 2527 1928 2491
"Afu3g13490" 330 250 262 485 574 605 364 292 226 368 89 361
"Afu3g13496" 62 48 42 94 113 102 87 66 55 50 14 59
"Afu3g13500" 7 6 7 0 2 1 13 9 3 6 9 6
"Afu3g13510" 422 325 302 323 272 297 826 653 493 706 1055 617
"Afu3g13520" 12 14 15 41 31 26 29 11 15 17 18 13
"Afu3g13550" 63 70 46 49 49 58 103 50 56 19 6 24
"Afu3g13560" 7 6 5 4 1 2 15 6 9 3 0 0
"Afu3g13570" 2 3 5 19 20 16 6 2 5 4 5 0
"Afu3g13580" 54 135 120 10 12 9 220 125 149 5 9 3
"Afu3g13590" 13 9 9 5 10 3 9 5 6 5 22 1
"Afu3g13600" 78 83 58 167 148 148 71 76 62 372 1236 347
"Afu3g13610" 9 10 11 24 30 25 21 9 12 168 1825 178
"Afu3g13620" 1938 964 1291 489 584 473 868 929 701 4150 9886 4084
"Afu3g13630" 6 2 1 4 1 8 3 0 1 3 3 0
"Afu3g13640" 99 75 78 1 2 0 74 72 52 3 0 1
"Afu3g13650" 112 55 95 1 1 2 23 51 33 1 2 2
"Afu3g13660" 1977 1122 1583 14 51 10 242 837 525 3 2 4
"Afu3g13670" 6382 3978 5566 83 301 103 1060 3244 1820 9 10 15
"Afu3g13680" 942 764 1049 6 18 7 325 840 501 3 2 0
"Afu3g13690" 255 190 277 0 10 3 49 207 82 1 4 1
"Afu3g13700" 794 540 814 10 16 14 128 545 284 13 5 10
"Afu3g13710" 4 2 8 0 1 0 3 1 2 0 0 0
"Afu3g13720" 16 8 9 6 1 4 4 5 8 2 1 1
"Afu3g13730" 29 24 25 15 9 9 29 12 8 9 5 9
"Afu3g13740" 2 4 0 13 12 14 1 3 2 4 4 1
"Afu3g13750" 36 36 25 11 9 12 8 7 17 0 1 2
"Afu3g13755" 1006 938 874 290 295 318 616 383 447 235 410 359
"Afu3g13760" 423 365 352 788 775 804 384 554 342 821 646 831
"Afu3g13770" 680 521 536 837 963 904 917 830 654 1892 1000 1712
"Afu3g13780" 5 5 8 11 8 9 9 7 4 2 6 7
"Afu3g13790" 2008 1700 1550 1610 1917 1942 2369 2189 1732 1478 1336 1242
"Afu3g13800" 14 9 15 9 11 13 19 18 26 11 11 5
"Afu3g13810" 254 227 191 212 199 240 1230 1131 935 100 201 101
"Afu3g13820" 2047 1664 1505 2158 2160 2424 1913 1535 1321 1215 645 1133
"Afu3g13830" 1329 926 1010 736 782 696 1688 1523 1182 5911 7404 4361
"Afu3g13840" 281 288 256 308 294 339 418 341 259 241 179 250
"Afu3g13850" 376 360 312 507 540 571 1009 474 438 70 15 55
"Afu3g13860" 8 7 10 10 7 12 46 11 14 2 2 1
"Afu3g13870" 2119 2028 1765 1115 1334 1731 3701 2034 2032 671 1533 1034
"Afu3g13880" 281 226 250 56 63 86 585 247 321 38 409 97
"Afu3g13890" 39 35 29 6 8 7 92 25 21 4 49 5
"Afu3g13900" 1579 1651 1634 1602 1554 1790 3086 2117 1826 849 1869 840
"Afu3g13910" 1305 1145 1139 1189 1109 1314 1410 1438 1159 568 232 524
"Afu3g13920" 259 215 199 363 360 377 620 441 328 236 144 206
"Afu3g13930" 1438 1247 1216 2169 2811 2751 1980 1717 1463 912 918 779
"Afu3g13940" 169 125 155 392 527 581 308 276 238 443 417 437
"Afu3g13950" 343 338 301 395 440 439 426 442 326 394 300 301
"Afu3g13970" 2747 2163 2078 4929 5319 5334 3233 3135 2463 1680 933 1428
"Afu3g13980" 462 456 376 718 627 591 781 587 409 809 347 639
"Afu3g13990" 493 608 538 727 741 717 1111 727 607 459 255 409
"Afu3g14000" 257 249 198 354 365 447 446 407 318 240 75 231
"Afu3g14010" 1139 1082 932 1081 1236 1301 1671 1572 1256 589 329 569
"Afu3g14020" 1054 990 850 1553 1889 2023 1599 1263 1024 1111 1092 1225
"Afu3g14030" 859 668 619 473 567 508 854 845 549 91 32 71
"Afu3g14040" 130 147 109 222 194 206 193 159 139 221 108 184
"Afu3g14050" 788 651 634 1024 1384 1293 940 837 710 1020 653 1004
"Afu3g14060" 211 204 180 355 314 260 406 284 221 1533 1005 1211
"Afu3g14070" 479 350 350 311 363 423 415 518 379 155 95 158
"Afu3g14080" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3g14090" 5229 3429 3851 1207 2399 1641 4549 4442 3365 816 996 465
"Afu3g14100" 460 750 631 544 566 578 716 569 458 629 375 653
"Afu3g14110" 399 432 362 359 359 385 623 511 387 414 220 343
"Afu3g14120" 625 621 478 486 610 548 541 630 383 996 453 929
"Afu3g14130" 56 60 46 77 79 68 78 68 33 23 17 26
"Afu3g14140" 923 649 681 1223 1203 1316 398 999 656 1469 2152 1423
"Afu3g14150" 218 186 202 393 396 416 427 853 537 3404 6064 3644
"Afu3g14160" 191 189 174 230 303 305 269 296 265 263 770 292
"Afu3g14165" 4 4 0 4 4 4 2 2 1 5 2 3
"Afu3g14170" 421 225 266 131 141 123 245 379 193 390 191 272
"Afu3g14180" 79 47 51 81 80 83 71 79 43 118 3 84
"Afu3g14190" 7 6 3 5 4 3 20 13 9 2 0 0
"Afu3g14200" 2 5 4 2 6 8 11 16 4 1 0 1
"Afu3g14210" 1 0 3 10 6 6 1 2 1 1 1 1
"Afu3g14230" 3119 2325 2515 2064 2270 2437 2150 2498 2167 4723 4729 4490
"Afu3g14240" 3592 3320 3254 4188 4436 4951 4603 4296 3872 8029 10009 8524
"Afu3g14245" 24 36 21 32 24 20 24 34 29 44 65 37
"Afu3g14250" 1018 688 699 350 449 415 384 443 470 1281 6830 1483
"Afu3g14260" 2526 2316 2081 827 1147 1278 1753 2254 1927 5671 17957 4363
"Afu3g14270" 132 94 86 246 235 257 143 104 86 495 107 438
"Afu3g14280" 519 537 455 506 474 560 914 721 582 804 544 843
"Afu3g14290" 292 286 235 346 283 292 434 287 275 213 63 165
"Afu3g14300" 156 117 132 118 107 129 200 150 127 56 19 37
"Afu3g14310" 858 747 692 1011 1268 1326 1278 1215 988 498 1964 363
"Afu3g14320" 1234 1089 1000 1062 1000 1024 1758 1499 1154 932 425 745
"Afu3g14330" 46 44 33 50 44 67 58 53 50 48 14 35
"Afu3g14340" 327 293 270 370 356 405 433 364 325 158 118 194
"Afu3g14350" 793 687 609 894 877 951 879 816 637 355 232 382
"Afu3g14360" 8 3 5 3 8 6 2 4 1 6 6 5
"Afu3g14370" 876 730 675 1164 1200 1315 929 1019 762 731 364 730
"Afu3g14380" 393 280 250 523 601 545 439 315 279 487 95 444
"Afu3g14390" 4 2 7 12 2 3 3 9 6 4 3 2
"Afu3g14400" 129 152 125 210 169 197 186 182 148 430 170 471
"Afu3g14410" 5713 3868 4004 5535 5987 6345 7052 5749 4785 3695 4070 3531
"Afu3g14420" 4316 3464 3443 6802 8178 8967 5492 5108 3914 3297 4153 3153
"Afu3g14430" 1710 1362 1222 2102 2090 2209 2409 2499 1961 4965 4314 5393
"Afu3g14440" 9479 8024 8028 8329 8539 9281 7268 7661 6423 6182 3792 6279
"Afu3g14445" 1345 1201 1192 1067 1140 1120 1364 1547 1207 1487 1673 1825
"Afu3g14450" 43 38 41 47 36 39 46 40 23 22 14 15
"Afu3g14460" 161 123 124 157 154 145 197 127 113 135 51 98
"Afu3g14470" 1941 1328 1300 944 1066 1125 904 1010 874 1178 732 1232
"Afu3g14490" 37682 20645 21641 17455 21416 22715 12143 17218 12784 19585 30989 26159
"Afu3g14500" 788 626 558 1501 1633 1732 1013 971 656 1183 368 1160
"Afu3g14510" 44 27 25 196 155 140 58 38 32 39 10 33
"Afu3g14520" 241 190 195 158 187 195 294 227 224 53 20 49
"Afu3g14530" 643 378 334 793 770 854 472 551 373 724 1010 903
"Afu3g14540" 101583 60005 59358 9607 15351 13332 44414 53032 47242 166621 302754 177263
"Afu3g14550" 223 209 172 171 192 206 271 216 219 525 554 468
"Afu3g14560" 459 451 435 163 183 149 143 269 196 290 429 285
"Afu3g14570" 2729 1393 1394 156 171 144 439 485 473 775 2030 946
"Afu3g14580" 65 50 46 63 78 95 71 56 60 62 110 78
"Afu3g14590" 1046 753 695 848 929 1012 782 655 579 243 225 247
"Afu3g14600" 721 419 456 231 278 274 264 291 214 374 256 394
"Afu3g14610" 465 421 381 221 202 204 795 405 380 153 128 108
"Afu3g14620" 47 24 37 9 12 7 28 28 22 6 3 3
"Afu3g14630" 25 26 17 12 23 16 33 20 29 10 6 4
"Afu3g14640" 38 33 34 173 151 149 39 43 29 172 88 187
"Afu3g14650" 193 185 179 1173 1197 1340 539 606 442 2188 2546 2572
"Afu3g14660" 482 292 318 367 375 387 424 258 246 107 140 117
"Afu3g14665" 5032 3122 3646 1086 1253 997 1889 5066 3126 2177 1786 1902
"Afu3g14670" 567 560 640 787 948 1005 652 939 652 1306 1571 1436
"Afu3g14680" 13272 11982 12403 15183 16490 16654 10263 15431 11405 8893 5930 8387
"Afu3g14690" 7 9 5 10 11 7 12 11 6 6 3 5
"Afu3g14700" 48 44 42 26 72 46 28 40 30 28 23 23
"Afu3g14710" 105 139 148 31 23 31 37 85 59 79 58 80
"Afu3g14720" 314 342 294 267 291 340 331 348 250 377 293 385
"Afu3g14730" 376 265 271 319 406 392 246 363 277 306 259 338
"Afu3g14740" 108 84 79 68 55 64 84 94 97 13 17 5
"Afu3g14750" 40 38 39 8 15 24 50 55 79 7 1 3
"Afu3g14760" 33 31 28 19 9 13 27 32 21 4 5 3
"Afu3g14770" 10 9 12 4 7 7 10 10 16 1 4 4
"Afu3g14790" 6 1 1 4 4 3 2 0 2 0 3 2
"Afu3g14800" 1 0 3 3 3 5 1 2 8 1 2 1
"Afu3g14810" 1 2 1 3 4 3 2 4 3 7 19 6
"Afu3g14820" 1 2 0 3 0 0 0 0 2 0 0 0
"Afu3g14830" 156 117 138 163 151 149 224 146 127 72 35 67
"Afu3g14840" 39 28 26 62 72 54 51 41 29 22 6 25
"Afu3g14850" 16 17 13 27 24 33 17 11 9 14 1 12
"Afu3g14860" 11 8 10 40 19 29 13 5 5 12 4 6
"Afu3g14870" 570 448 364 390 366 368 691 534 491 164 121 110
"Afu3g14880" 493 388 401 288 300 319 535 426 373 266 191 298
"Afu3g14890" 13 14 8 5 10 5 19 10 14 2 1 1
"Afu3g14900" 2256 1979 2006 2382 3013 2972 2724 2178 1951 3314 3048 3331
"Afu3g14910" 32 100 56 62 63 83 256 493 334 33 50 42
"Afu3g14915" 2 1 0 6 3 4 2 3 2 6 8 2
"Afu3g14920" 1105 643 755 2942 2951 3211 722 1078 789 926 306 828
"Afu3g14940" 676 687 696 18 18 35 1385 827 867 94 72 62
"Afu3g14950" 32 20 31 4 10 6 45 11 21 122 292 112
"Afu3g14960" 65 73 63 44 45 37 73 46 54 59 40 42
"Afu3g14970" 90 74 91 156 164 161 110 99 91 406 196 401
"Afu3g14980" 187 225 198 290 336 374 445 545 429 334 125 342
"Afu3g14990" 1353 1024 938 825 908 898 1196 1131 1042 967 621 1104
"Afu3g15000" 371 208 195 122 148 121 156 129 112 69 49 51
"Afu3g15010" 1214 619 621 15 9 7 40 82 72 20 12 14
"Afu3g15020" 17 19 13 4 3 5 1 0 0 0 1 0
"Afu3g15030" 5 2 1 3 3 4 2 1 0 2 1 0
"Afu3g15040" 37 26 19 21 27 26 17 13 8 2 3 2
"Afu3g15050" 3917 1979 1715 118 133 124 192 219 217 225 351 224
"Afu3g15055" 422 180 181 11 12 4 12 13 13 7 33 8
"Afu3g15060" 2 0 0 13 17 6 0 0 0 4 3 4
"Afu3g15070" 24 20 16 24 18 21 40 29 19 11 14 14
"Afu3g15080" 98 97 89 548 379 557 374 489 319 154 129 159
"Afu3g15090" 1205 1177 990 189 241 237 2493 1151 1305 17 34 15
"Afu3g15100" 159 119 122 114 122 107 171 118 129 11 23 9
"Afu3g15110" 113 78 88 75 88 101 144 98 65 9 13 5
"Afu3g15140" 210 196 186 162 198 200 256 155 157 34 40 28
"Afu3g15150" 100 96 59 45 82 53 105 67 83 13 13 9
"Afu3g15160" 89 84 99 90 109 114 131 100 88 18 19 17
"Afu3g15170" 240 184 189 201 235 238 323 205 180 59 34 53
"Afu3g15190" 470 422 384 617 721 701 541 433 378 285 117 330
"Afu3g15200" 571 475 470 814 815 839 712 643 478 405 222 400
"Afu3g15210" 0 0 0 1 0 2 1 0 1 0 0 0
"Afu3g15220" 1 1 0 3 1 2 0 1 4 0 1 0
"Afu3g15230" 43 26 33 100 108 117 23 32 19 116 264 119
"Afu3g15240" 20 53 51 16 22 22 102 67 54 26 33 32
"Afu3g15250" 47 172 149 22 33 35 193 168 103 242 378 207
"Afu3g15260" 0 0 0 1 0 0 0 0 0 0 0 0
"Afu3g15270" 0 7 5 1 1 0 22 8 4 1 1 0
"Afu3g15280" 0 19 20 1 0 1 26 21 9 0 0 0
"Afu3g15290" 41 42 31 24 36 44 407 219 170 7 0 1
"Afu3g15300" 13 9 11 8 10 11 26 13 13 5 5 7
"Afu3g15310" 6 5 9 2 1 2 4 0 0 5 3 4
"Afu3g15330" 1023 760 630 503 621 584 820 722 593 1029 1680 813
"Afu3g15340" 588 516 576 553 661 829 756 767 609 105 61 101
"Afu3g15350" 0 6 1 2 1 5 6 4 2 0 1 1
"Afu3g15380" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3g15390" 0 0 0 4 1 1 0 0 1 1 0 1
"Afu3g15395" 0 0 0 0 0 0 0 0 0 0 1 0
"Afu3tA(AGC)2" 0 1 0 0 0 0 1 0 0 0 0 0
"Afu3tA(AGC)6" 0 1 0 1 0 0 1 0 0 0 0 0
"Afu3tA(AGC)7" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tC(GCA)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tC(GCA)2" 0 1 0 0 0 0 0 0 0 0 0 0
"Afu3tD(GUC)5" 0 0 1 1 0 1 0 0 1 1 0 0
"Afu3tD(GUC)6" 1 0 0 0 0 0 0 0 0 0 1 0
"Afu3tF(GAA)1" 0 0 0 0 0 0 1 0 1 1 0 0
"Afu3tG(GCC)4" 1 0 1 0 2 1 1 1 1 0 1 0
"Afu3tI(AAU)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tI(AAU)2" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tI(AAU)4" 1 1 0 0 0 0 0 0 0 0 0 0
"Afu3tI(AAU)5" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tK(CUU)2" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tK(CUU)3" 0 0 0 0 0 0 1 0 0 0 0 0
"Afu3tK(CUU)4" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tL(AAG)2" 0 1 0 0 0 0 2 1 0 0 0 1
"Afu3tM(CAU)3" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tN(GUU)1" 0 0 0 0 1 0 0 0 0 0 0 0
"Afu3tP(AGG)3" 0 0 0 0 0 1 0 0 0 0 0 0
"Afu3tR(ACG)4" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tR(CCG)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tR(CCG)2" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tR(UCG)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3tR(UCG)2" 1 0 1 0 1 0 4 3 0 0 2 0
"Afu3tT(AGU)2" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g00100" 1 1 0 3 3 3 2 0 3 15 26 15
"Afu4g00110" 1 1 4 21 15 37 1 1 1 75 30 56
"Afu4g00120" 6 8 5 23 25 24 4 5 7 4 2 3
"Afu4g00130" 0 0 0 1 0 1 0 0 0 0 1 1
"Afu4g00140" 0 0 0 0 0 0 0 1 0 0 0 0
"Afu4g00150" 175 128 112 154 163 191 170 137 104 22 1 18
"Afu4g00160" 1 0 0 20 10 17 2 0 1 2 1 2
"Afu4g00180" 22 8 10 11 9 16 5 9 7 9 9 8
"Afu4g00190" 0 0 0 0 0 2 0 0 1 0 0 0
"Afu4g00195" 449 604 502 867 698 1345 1105 559 750 82 69 61
"Afu4g00200" 226 208 222 500 414 601 232 535 386 915 266 1021
"Afu4g00210" 340 639 436 82 110 88 3932 393 835 40 42 24
"Afu4g00220" 37 71 76 14 10 16 295 52 71 4 10 4
"Afu4g00225" 126 300 196 7 4 7 1673 214 441 2 4 3
"Afu4g00230" 249 485 274 23 21 27 2833 201 621 4 4 4
"Afu4g00235" 155 169 178 171 219 201 196 206 201 99 50 48
"Afu4g00240" 7 10 8 101 77 107 94 26 32 8 7 5
"Afu4g00250" 15 26 21 132 146 155 172 46 49 8 13 13
"Afu4g00260" 71 66 82 138 153 179 46 39 36 82 77 88
"Afu4g00270" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g00280" 877 1829 1877 700 1120 847 697 421 452 2274 13904 2815
"Afu4g00290" 51 47 47 136 127 133 54 49 52 1687 7281 1917
"Afu4g00320" 816 741 738 1026 1176 1155 1333 917 729 1498 573 1366
"Afu4g00330" 99 93 78 291 233 269 205 197 173 57 23 53
"Afu4g00340" 164 91 97 106 74 78 151 111 124 22 29 18
"Afu4g00350" 199 111 132 108 87 94 186 169 122 124 105 98
"Afu4g00360" 710 606 497 755 654 700 841 638 531 910 612 807
"Afu4g00370" 93 65 94 354 385 437 143 100 91 32 15 34
"Afu4g00380" 1 1 0 1 2 1 3 1 2 4 4 0
"Afu4g00390" 135 100 94 102 115 112 185 195 131 94 36 74
"Afu4g00400" 57 43 40 303 231 276 75 144 65 109 42 118
"Afu4g00410" 156 65 61 211 247 227 67 115 55 30 21 26
"Afu4g00420" 147 104 90 498 430 507 236 151 134 74 63 61
"Afu4g00430" 2 5 4 30 20 39 80 307 208 4 9 5
"Afu4g00440" 141 73 95 41 50 42 109 67 66 456 495 472
"Afu4g00450" 0 0 0 1 0 1 0 0 0 1 1 1
"Afu4g00460" 6 2 7 7 7 7 5 3 8 2 4 3
"Afu4g00470" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g00480" 4 4 2 0 1 0 2 0 0 1 1 3
"Afu4g00485" 13834 5552 5555 762 1181 664 2140 2174 2128 1944 5567 2179
"Afu4g00490" 537 165 164 71 93 61 135 139 119 446 574 475
"Afu4g00500" 5 0 1 1 4 5 1 1 1 4 3 1
"Afu4g00510" 45 70 60 78 93 70 92 17 29 9 2 7
"Afu4g00520" 151 152 160 799 942 1010 236 114 129 425 65 243
"Afu4g00530" 286 129 118 335 419 395 124 92 86 127 90 61
"Afu4g00540" 32 11 9 7 10 13 7 6 10 7 4 4
"Afu4g00550" 91 22 38 50 43 47 11 14 10 3 31 4
"Afu4g00560" 82 26 19 33 28 23 14 9 7 3 19 1
"Afu4g00570" 224 87 103 69 74 61 61 53 66 18 53 14
"Afu4g00580" 286 108 117 91 101 97 57 79 48 28 63 19
"Afu4g00590" 693 366 410 312 334 382 645 250 276 310 295 213
"Afu4g00600" 219 65 84 317 238 276 93 93 75 43 27 33
"Afu4g00610" 501 187 210 1361 942 1126 157 288 195 177 64 150
