"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g01910" 185 158 120 363 376 344 257 299 183 267 111 237
"Afu1g01920" 163 135 141 33 46 50 294 313 251 9 2 8
"Afu1g01930" 43 32 36 140 106 106 99 57 50 37 16 15
"Afu1g01940" 338 311 318 664 663 677 326 416 278 471 409 451
"Afu1g01950" 314 254 249 459 505 507 365 342 271 419 510 499
"Afu1g01960" 459 327 345 905 1273 997 896 568 504 656 575 390
"Afu1g01970" 689 489 491 784 967 917 684 640 495 1127 510 1070
"Afu1g01980" 14 14 14 44 32 37 15 16 18 16 5 11
"Afu1g01990" 456 461 389 467 491 671 572 478 448 138 143 129
"Afu1g02000" 78 66 58 198 168 239 203 99 103 30 20 34
"Afu1g02010" 1473 1326 1209 1226 1384 1421 1692 1514 1238 759 374 773
"Afu1g02020" 443 369 345 706 712 823 634 459 406 1105 474 977
"Afu1g02030" 4524 4105 4048 2339 2458 2793 4190 4918 3960 1267 830 980
"Afu1g02040" 174 154 146 289 255 247 286 208 159 480 1127 396
"Afu1g02050" 523 484 410 851 875 878 1022 846 645 850 461 685
"Afu1g02060" 40 50 46 60 56 64 64 60 47 11 9 24
"Afu1g02070" 7325 6201 5771 994 1122 1206 6382 6855 5562 420 210 285
"Afu1g02080" 611 560 578 654 715 823 853 1106 801 1090 1831 1246
"Afu1g02090" 396 379 318 380 379 356 619 493 397 2662 3481 2604
"Afu1g02100" 55 83 58 168 166 217 152 129 98 397 572 423
"Afu1g02110" 1914 2207 2269 3313 3063 3971 5076 3704 2864 3217 3499 3307
"Afu1g02120" 409 298 249 318 369 393 555 555 424 754 1447 480
"Afu1g02130" 2134 1245 1307 1431 2127 1781 2050 1946 1508 8152 11544 8313
"Afu1g02140" 1109 922 838 890 1038 911 971 706 572 1714 524 1540
"Afu1g02150" 1664 1416 1300 1862 1843 2167 2245 2057 1568 1517 1831 1560
"Afu1g02160" 310 290 240 397 435 521 408 368 325 325 350 413
"Afu1g02170" 537 424 428 1290 1268 1430 666 506 446 2003 301 2051
"Afu1g02180" 259 189 166 470 443 420 467 339 258 309 80 176
"Afu1g02190" 3122 2871 2760 3917 3922 4486 4288 3845 3211 4486 2501 4519
"Afu1g02200" 367 360 321 658 649 644 930 523 480 1335 948 1176
"Afu1g02210" 869 957 785 677 654 861 1001 966 895 305 306 322
"Afu1g02220" 31 34 27 48 47 52 78 58 46 16 0 6
"Afu1g02230" 15 18 15 18 22 37 23 14 18 20 2 15
"Afu1g02240" 2 0 1 1 0 1 0 0 4 0 0 0
"Afu1g02250" 0 0 0 1 0 0 0 0 0 0 0 0
"Afu1g02255" 0 2 0 1 0 3 7 0 3 0 0 0
"Afu1g02260" 0 0 2 2 5 2 7 0 4 0 4 0
"Afu1g02270" 925 573 723 2512 2413 2368 1300 953 717 1443 5470 1473
"Afu1g02280" 308 269 253 468 513 527 515 426 368 182 163 188
"Afu1g02290" 32209 21104 22500 30866 33794 33369 15696 21132 15826 2649 769 2397
"Afu1g02300" 8 0 7 21 22 16 4 3 6 2 1 1
"Afu1g02310" 17 8 19 19 13 22 29 19 17 1 0 0
"Afu1g02320" 175 174 147 141 158 157 206 169 148 42 22 39
"Afu1g02330" 1341 1033 1060 1219 1504 1418 1469 1569 1236 1831 3227 1895
"Afu1g02340" 1826 1518 1356 2395 3261 2811 1995 1776 1460 3201 5351 3624
"Afu1g02350" 211 157 177 186 170 187 211 248 178 186 109 195
"Afu1g02360" 191 187 142 325 371 435 255 240 201 480 152 468
"Afu1g02370" 55 51 48 50 74 86 72 62 50 90 9 99
"Afu1g02380" 20 25 20 44 29 50 37 24 23 161 16 177
"Afu1g02390" 291 271 271 251 240 296 395 352 312 123 120 104
"Afu1g02400" 334 220 264 747 664 716 610 430 326 550 336 524
"Afu1g02410" 1430 1322 1283 1098 1180 1339 1688 1547 1324 905 419 844
"Afu1g02420" 367 302 247 294 289 261 452 353 291 645 271 484
"Afu1g02430" 814 710 688 805 797 901 1034 938 770 2396 1019 2401
"Afu1g02440" 86 58 51 104 91 102 69 115 68 45 35 42
"Afu1g02450" 131 109 93 234 181 231 165 191 112 66 57 52
"Afu1g02460" 860 772 682 711 798 912 898 930 692 380 284 349
"Afu1g02480" 104 88 89 153 177 167 189 138 118 97 41 76
"Afu1g02490" 231 229 220 414 389 457 397 337 290 866 538 777
"Afu1g02500" 369 313 265 289 359 312 537 429 321 332 141 229
"Afu1g02510" 2539 2183 2062 2657 3215 3050 3496 2480 2066 2653 993 2191
"Afu1g02520" 1 0 1 9 3 4 0 0 1 10 2 6
"Afu1g02530" 154 146 148 1430 1232 1490 306 369 265 970 475 795
"Afu1g02540" 2474 1977 1939 2482 3479 3175 2286 2104 1770 2856 1030 2765
"Afu1g02550" 17153 13676 13312 9801 11566 11093 13058 13772 11486 2333 1737 1517
"Afu1g02560" 266 239 188 208 211 200 337 196 184 90 46 76
"Afu1g02570" 3495 3449 3620 2875 3669 4081 2883 3174 2436 14291 51576 16501
"Afu1g02580" 1464 1411 1232 1475 1645 1839 1387 1318 1082 2643 6262 3852
"Afu1g02590" 695 670 613 1069 981 1161 1077 986 642 780 638 716
"Afu1g02600" 2715 2126 2114 3100 3263 3599 3411 3595 2932 1107 790 751
"Afu1g02610" 761 786 663 544 539 731 951 775 768 162 135 131
"Afu1g02620" 290 330 277 465 442 499 340 288 256 150 75 115
"Afu1g02630" 762 758 614 758 717 844 958 874 773 292 159 188
"Afu1g02640" 259 239 209 622 553 565 501 300 273 857 668 828
"Afu1g02650" 96 95 93 174 147 154 158 120 94 267 204 260
